"filename", "language", "HTML", "XML", "CSS", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\vllbc.github.io\bootstrap-3.3.7-dist\js\npm.js", "JavaScript", 0, 0, 0, 12, 0, 0, 1, 0, 13
"c:\Users\vllbc\Desktop\vllbc.github.io\css\base.css", "CSS", 0, 0, 158, 0, 0, 0, 35, 12, 205
"c:\Users\vllbc\Desktop\vllbc.github.io\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\Users\vllbc\Desktop\vllbc.github.io\css\font-awesome.min.css", "CSS", 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\vllbc\Desktop\vllbc.github.io\css\theme.css", "CSS", 0, 0, 518, 0, 0, 0, 12, 126, 656
"c:\Users\vllbc\Desktop\vllbc.github.io\flask\index.html", "HTML", 282, 0, 0, 0, 0, 0, 11, 68, 361
"c:\Users\vllbc\Desktop\vllbc.github.io\fonts\fontawesome-webfont.svg", "XML", 0, 399, 0, 0, 0, 0, 0, 0, 399
"c:\Users\vllbc\Desktop\vllbc.github.io\fonts\glyphicons-halflings-regular.svg", "XML", 0, 288, 0, 0, 0, 0, 0, 0, 288
"c:\Users\vllbc\Desktop\vllbc.github.io\index.html", "HTML", 340, 0, 0, 0, 0, 0, 15, 65, 420
"c:\Users\vllbc\Desktop\vllbc.github.io\js\base.js", "JavaScript", 0, 0, 0, 7, 0, 0, 13, 3, 23
"c:\Users\vllbc\Desktop\vllbc.github.io\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\vllbc\Desktop\vllbc.github.io\js\jquery-1.10.2.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 3, 1, 7
"c:\Users\vllbc\Desktop\vllbc.github.io\js\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 1, 3
"c:\Users\vllbc\Desktop\vllbc.github.io\js\theme.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 4, 22
